STABR,POPU_LSA,F_POPLSA,POPU_UND,POPU_ST,CENTLIB,F_CENLIB,BRANLIB,F_BRLIB,BKMOB,F_BKMOB,MASTER,F_MASTER,LIBRARIA,F_LIBRAR,OTHPAID,F_OTHSTF,TOTSTAFF,F_TOTSTF,LOCGVT,F_LOCGVT,STGVT,F_STGVT,FEDGVT,F_FEDGVT,OTHINCM,F_OTHINC,TOTINCM,F_TOTINC,SALARIES,F_SALX,BENEFIT,F_BENX,STAFFEXP,F_TOSTFX,PRMATEXP,F_PRMATX,ELMATEXP,F_ELMATX,OTHMATEX,F_OTMATX,TOTEXPCO,F_TOCOLX,OTHOPEXP,F_OTHOPX,TOTOPEXP,F_TOTOPX,LCAP_REV,F_LCAPRV,SCAP_REV,F_SCAPRV,FCAP_REV,F_FCAPRV,OCAP_REV,F_OCAPRV,CAP_REV,F_TCAPRV,CAPITAL,F_TCAPX,BKVOL,F_BKVOL,EBOOK,F_EBOOK,AUDIO_PH,F_AUD_PH,AUDIO_DL,F_AUD_DL,VIDEO_PH,F_VID_PH,VIDEO_DL,F_VID_DL,EC_LO_OT,F_EC_L_O,EC_ST,F_EC_ST,ELECCOLL,F_ELECOL,HRS_OPEN,F_HRS_OP,VISITS,F_VISITS,REFERENC,F_REFER,REGBOR,F_REGBOR,TOTCIR,F_TOTCIR,KIDCIRCL,F_KIDCIR,ELMATCIR,F_EMTCIR,PHYSCIR,F_PHYSCR,ELINFO,F_ELINFO,ELCONT,F_ELCONT,TOTCOLL,F_TOTCOL,LOANTO,F_LOANTO,LOANFM,F_LOANFM,TOTPRO,F_TOTPRO,KIDPRO,F_KIDPRO,YAPRO,F_YAPRO,TOTATTEN,F_TOTATT,KIDATTEN,F_KIDATT,YAATTEN,F_YAATT,GPTERMS,F_GPTERM,PITUSR,F_PITUSR,WIFISESS,F_WIFISS,WEBVISIT,STARTDAT,ENDDATE,INCITSST,YR_SUB,OBEREG
AK,644542,R_20,644542,728903,79,R_20,15,R_20,1,R_20,71.8,IF20,132.79,IF20,186.18,IF20,318.97,IF20,38490859,IF20,978431,R_20,1021061,IF20,1214230,IF20,41704581,IF20,15485930,IF20,9886451,IF20,25372381,IF20,1828131,IF20,868756,IF20,476224,IF20,3173111,IF20,8513916,IF20,37059408,IF20,661174,R_20,0,R_20,0,R_20,0,R_20,661174,R_20,425319,R_20,2106328,IF20,1650561,IF20,114711,IF20,813977,IF20,302217,IF20,69199,IF20,92,IF20,3871,R_20,3963,IF20,111897,R_20,2480271,IF20,227475,IF20,345367,IF20,3890543,IF20,1423223,IF20,791244,IF20,3099299,IF20,804246,R_20,1595490,IF20,4694789,IF20,3498,IF20,6354,IF20,11916,IF20,7200,IF20,1375,IF20,245909,IF20,172836,IF20,15480,IF20,937,IF20,402801,IF20,668156,IF20,3224746,01/01/2019,06/30/2020,02,2021,08
AL,4887871,R_20,4887871,4887871,224,R_20,72,R_20,15,R_20,323.01,R_20,753.4,R_20,809.92,R_20,1563.32,R_20,100055470,IF20,5505274,IF20,1195961,IF20,7717144,IF20,114473849,IF20,58104486,IF20,17149710,IF20,75254196,IF20,5966189,IF20,3072754,IF20,2216781,IF20,11255724,IF20,21655383,IF20,108165303,IF20,2346646,IF20,13373,R_20,75671,IF20,179398,IF20,2615088,IF20,3097451,IF20,8470866,IF20,8289622,IF20,498541,IF20,2971783,IF20,712203,IF20,407015,IF20,826,IF20,26100,R_20,26926,IF20,443645,R_20,7959151,IF20,2217821,IF20,2517267,IF20,15442434,IF20,4665893,IF20,4441630,IF20,11000804,IF20,10077454,IF20,14519084,IF20,25519888,IF20,298694,IF20,306495,IF20,39728,IF20,19248,IF20,5476,IF20,894623,IF20,577257,IF20,84059,IF20,4316,IF20,1673545,IF20,7496820,IF20,7068699,10/01/2019,09/30/2020,01,2021,05
AR,2935531,R_20,2753540,2988248,59,R_20,168,R_20,3,R_20,161,R_20,353.15,R_20,727.27,R_20,1080.42,R_20,80870333,IF20,5300631,IF20,483330,IF20,6626081,IF20,93280375,IF20,38581253,IF20,12883685,IF20,51464938,IF20,4114864,IF20,3247720,IF20,1449365,IF20,8811949,IF20,16996671,IF20,77273558,IF20,2816095,IF20,206000,IF20,5600,IF20,233042,IF20,3260737,IF20,14977114,IF20,5643453,IF20,5549449,IF20,236585,IF20,3480580,IF20,580853,IF20,211349,IF20,290,IF20,5074,R_20,5364,IF20,258521,R_20,4058477,IF20,780843,IF20,1713571,IF20,8975568,IF20,2022596,IF20,3175475,IF20,5800093,IF20,862208,IF20,4037683,IF20,9837776,IF20,30030,IF20,12962,IF20,24966,IF20,17085,IF20,2922,IF20,477651,IF20,302869,IF20,45654,IF20,2855,IF20,376237,IF20,1518014,IF20,13054722,01/01/2020,12/31/2020,05,2021,05
AS,57637,R_20,57637,57637,1,R_20,1,R_20,0,R_20,2,R_20,2,R_20,8,R_20,10,R_20,0,R_20,325000,R_20,79295,R_20,7939,R_20,412234,R_20,230558,R_20,19201,R_20,249759,R_20,10999,R_20,2000,R_20,4140,R_20,17139,R_20,101919,R_20,368817,R_20,0,R_20,0,R_20,0,R_20,0,R_20,0,R_20,0,R_20,44530,R_20,7303,R_20,895,R_20,0,R_20,445,R_20,0,R_20,0,R_20,0,R_20,0,R_20,3120,R_20,25413,R_20,957,R_20,15453,R_20,11131,R_20,4800,R_20,847,R_20,10284,R_20,1628,R_20,2475,R_20,12759,R_20,0,R_20,0,R_20,225,R_20,209,R_20,0,R_20,4418,R_20,4138,R_20,0,R_20,20,R_20,3773,R_20,440,R_20,573,10/01/2019,09/30/2020,60,2021,09
AZ,11495065,R_20,7294587,7294587,84,R_20,138,R_20,9,R_20,492.89,IF20,614.9,IF20,1528.89,IF20,2143.79,IF20,208086689,IF20,1543575,IF20,1463236,IF20,6793131,IF20,217886631,IF20,84801527,IF20,32838889,IF20,117640416,IF20,17296930,IF20,13139626,IF20,4216150,IF20,34652706,IF20,58545466,IF20,210838588,IF20,8701714,IF20,84180,IF20,19430,IF20,885094,IF20,9690418,IF20,16974927,IF20,7351702,IF20,11051177,IF20,523255,IF20,8137857,IF20,1162783,IF20,528750,IF20,427,IF20,2136,R_20,2563,IF20,371563,R_20,16665171,IF20,1687185,IF20,3147196,IF20,46491422,IF20,12685174,IF20,19819901,IF20,26671521,IF20,9820998,R_20,29640899,IF20,56312420,IF20,414229,IF20,503641,IF20,68673,IF20,32349,IF20,7406,IF20,1219102,IF20,830884,IF20,79174,IF20,4847,IF20,2808038,IF20,9002799,IF20,36987214,07/01/2019,06/30/2020,04,2021,06
CA,39767327,E_20,39767327,39782870,199,R_20,973,R_20,54,R_20,3292.32,R_20,3551.35,R_20,8244.4,R_20,11795.75,R_20,1699425878,R_20,41862982,R_20,6686450,R_20,77500885,R_20,1825476195,R_20,723624718,R_20,392918371,R_20,1116543089,R_20,72554558,R_20,65653363,R_20,17008914,R_20,155216835,R_20,453465018,R_20,1725224942,R_20,100649619,R_20,2092934,R_20,1255157,R_20,5888061,R_20,109885771,R_20,104343893,R_20,55900399,R_20,35502503,R_20,2764509,R_20,17365078,R_20,4884508,R_20,4004771,R_20,4327,R_20,468,R_20,4795,R_20,1488530,R_20,95821437,R_20,12901341,R_20,23439594,R_20,175899031,R_20,68137276,R_20,44672031,R_20,131227215,R_20,49322182,R_20,93994213,R_20,225213931,R_20,2621186,R_20,2297125,R_20,323033,R_20,184437,R_20,33383,R_20,7555074,R_20,5553796,R_20,485686,R_20,24412,R_20,16938386,R_20,32575819,R_20,94610537,07/01/2019,06/30/2020,06,2021,08
CO,5716398,R_20,5608629,5746810,95,R_20,168,R_20,12,R_20,652.97,IF20,943.56,IF20,2521.5,IF20,3465.06,IF20,394792328,IF20,1933882,IF20,2266099,IF20,23211218,IF20,422203527,IF20,161431640,IF20,49588752,IF20,211020392,IF20,14426131,IF20,24195316,IF20,5345981,IF20,43967428,IF20,69768335,IF20,324756155,IF20,12201563,IF20,1640300,IF20,41745,IF20,1515241,IF20,15398849,IF20,41846678,IF20,9303385,IF20,6373535,IF20,719653,IF20,4941151,IF20,1331553,IF20,1056966,IF20,1941,IF20,8,IF20,1949,IF20,332603,R_20,9320267,IF20,1775325,IF20,3647604,IF20,43527138,IF20,13023773,IF20,14716448,IF20,28810690,IF20,6394728,IF20,21111176,IF20,49921866,IF20,1138390,IF20,876561,IF20,24886,IF20,13332,IF20,2452,IF20,464726,IF20,309418,IF20,26967,IF20,3207,IF20,1491500,IF20,4694811,IF20,30285585,01/01/2020,12/31/2020,08,2021,07
CT,4329754,R_20,3565287,3565287,191,R_20,45,R_20,5,R_20,757.11,IF20,1098.19,IF20,1108.01,IF20,2206.2,IF20,186051937,IF20,1036249,IF20,1465255,IF20,26903645,IF20,215457086,IF20,125381692,IF20,37212952,IF20,162594644,IF20,10721786,IF20,5680813,IF20,2119354,IF20,18521953,IF20,36323896,IF20,217440493,IF20,15362037,IF20,4871848,IF20,28683,IF20,10988881,IF20,31251449,IF20,26972272,IF20,12669212,IF20,2853186,IA20,748709,IF20,1189468,IA20,1213619,IF20,36966,IA20,1804,IF20,7458,IF20,9262,IF20,382069,R_20,14204846,IF20,2310139,IF20,1507766,IF20,20570743,IF20,7027408,IF20,3361817,IF20,17208926,IF20,3348321,IF20,6710138,IF20,23919064,IF20,778951,IF20,711071,IF20,98219,IF20,51615,IF20,9116,IF20,1881234,IF20,1067925,IF20,105483,IF20,4605,IF20,2436001,IF20,3032901,IF20,15563096,07/01/2019,06/30/2020,09,2021,01
DC,689545,R_20,689545,689545,1,R_20,26,R_20,0,R_20,128,R_20,128,R_20,466,R_20,594,R_20,62518091,R_20,0,R_20,1059893,R_20,1795338,R_20,65373322,R_20,37971096,R_20,9202426,R_20,47173522,R_20,3848586,R_20,2012833,R_20,0,R_20,5861419,R_20,11557459,R_20,64592400,R_20,39825000,R_20,0,R_20,0,R_20,0,R_20,39825000,R_20,70275096,R_20,201230,R_20,38623,R_20,1206,R_20,14090,R_20,21608,R_20,827,R_20,80,R_20,0,R_20,80,R_20,43215,R_20,1852701,R_20,283550,IA20,414610,R_20,4067352,R_20,1044681,R_20,2025903,R_20,2041449,R_20,1494107,R_20,3520010,R_20,5561459,R_20,68,R_20,50,R_20,7546,R_20,4008,R_20,265,R_20,237373,R_20,164165,R_20,7518,R_20,200,R_20,466968,R_20,353076,R_20,4032772,10/01/2019,09/30/2020,11,2021,02
DE,973757,R_20,973757,973757,19,R_20,14,R_20,2,R_20,67.01,R_20,130.95,R_20,230.19,R_20,361.14,R_20,26899188,R_20,4122839,R_20,292202,R_20,1687672,R_20,33001901,R_20,14480031,R_20,5305439,R_20,19785470,R_20,1632176,R_20,350861,R_20,326339,R_20,2309376,R_20,9057507,R_20,31152353,R_20,533704,R_20,2888261,R_20,125000,R_20,713086,R_20,4260051,R_20,1883529,R_20,1426697,R_20,605388,R_20,118334,R_20,220185,R_20,170546,R_20,21126,R_20,37,R_20,126,R_20,163,R_20,66582,R_20,2744471,R_20,324251,IF20,315333,R_20,4170702,R_20,1273978,R_20,660766,R_20,3509936,R_20,139828,R_20,800594,R_20,4310530,R_20,584487,R_20,593038,R_20,21337,R_20,7462,R_20,1509,R_20,286249,R_20,147709,R_20,10537,R_20,1053,R_20,345214,R_20,577591,R_20,1319126,07/01/2019,06/30/2020,10,2021,02
FL,21888745,R_20,21551698,21596068,56,R_20,480,R_20,21,R_20,1734.14,IF20,1967.13,IF20,4489.45,IF20,6456.58,IF20,647363434,IF20,21983856,IF20,1723788,IF20,19505003,IF20,690576081,IF20,268171864,IF20,106432177,IF20,374604041,IF20,31300430,IF20,31526117,IF20,6945835,IF20,69772382,IF20,170195385,IF20,614571808,IF20,41526507,IF20,53066,IF20,173658,IF20,1067614,IF20,42820845,IF20,32255787,IF20,24039560,IF20,12547497,IF20,1530889,IF20,36418317,IF20,3279916,IF20,1020453,IF20,1082,IF20,3967,R_20,5049,IF20,894205,R_20,34862119,IF20,12159323,IF20,11454882,IF20,79125587,IF20,23357549,IF20,24961374,IF20,54164213,IF20,20974352,IF20,45935726,IF20,100099939,IF20,94841,IF20,85389,IF20,157859,IF20,61277,IF20,17092,IF20,3510997,IF20,1756125,IF20,355797,IF20,17429,IF20,7070614,IF20,9646814,IF20,57394612,10/01/2019,09/30/2020,12,2021,05
GA,10833472,R_20,10833472,10833472,60,R_20,332,R_20,9,R_20,560.15,R_20,560.15,R_20,2195.04,IF20,2755.19,IF20,169661764,R_20,37430740,R_20,486284,R_20,11609113,R_20,219187901,R_20,104624558,R_20,45325640,R_20,149950198,R_20,9983160,R_20,5268415,R_20,2475545,R_20,17727120,R_20,37083417,R_20,204760735,R_20,71803009,R_20,7997632,R_20,153442,R_20,1137053,R_20,81091136,R_20,90389247,IF20,14732883,R_20,2955286,R_20,485324,R_20,1892210,R_20,1157320,R_20,382767,R_20,293,R_20,3726,R_20,4019,R_20,621702,R_20,18209721,R_20,4008063,IF20,4368774,R_20,28938310,R_20,12091148,R_20,5582785,R_20,23355525,R_20,2476479,R_20,8059264,R_20,31414789,R_20,13942,IF20,11586,R_20,76407,R_20,38269,R_20,7593,R_20,1809232,R_20,1042797,R_20,116044,R_20,10149,R_20,6784008,R_20,4221869,R_20,26431644,07/01/2019,06/30/2020,13,2021,05
GU,168678,R_20,168678,168678,1,R_20,5,R_20,0,R_20,0,R_20,0,R_20,17,R_20,17,R_20,1217900,R_20,0,R_20,0,R_20,5342,R_20,1223242,R_20,554440,R_20,219830,R_20,774270,R_20,3747,R_20,180,R_20,0,R_20,3927,R_20,16767,R_20,794964,R_20,1255704,R_20,0,R_20,0,R_20,0,R_20,1255704,R_20,0,R_20,286930,R_20,0,R_20,43,R_20,0,R_20,41,R_20,0,R_20,4,R_20,0,R_20,4,R_20,2071,R_20,35115,R_20,2119,R_20,68725,R_20,14618,R_20,8148,R_20,0,R_20,14618,R_20,0,R_20,0,R_20,14618,R_20,0,R_20,0,R_20,807,R_20,279,R_20,316,R_20,8326,R_20,5668,R_20,2224,R_20,732,R_20,2597,R_20,847,R_20,101200,10/01/2019,09/30/2020,66,2021,09
HI,1415872,R_20,1415872,1415872,1,R_20,50,R_20,2,R_20,143,R_20,144,R_20,322,R_20,466,R_20,0,R_20,34413037,R_20,884463,R_20,1671392,R_20,36968892,R_20,24976710,R_20,205750,R_20,25182460,R_20,2491491,R_20,1120394,R_20,630790,R_20,4242675,R_20,11520179,R_20,40945314,R_20,0,R_20,15369000,R_20,0,R_20,0,R_20,15369000,R_20,6946821,R_20,3173711,R_20,135098,R_20,110815,R_20,41953,R_20,175895,R_20,0,R_20,0,R_20,101,R_20,101,R_20,72176,R_20,2597672,R_20,455768,R_20,1021208,R_20,4624740,R_20,1827648,R_20,1017454,R_20,3607286,R_20,47299508,R_20,48316962,R_20,51924248,R_20,146,R_20,11,R_20,9049,R_20,6370,R_20,1076,R_20,212347,R_20,160838,R_20,21346,R_20,583,R_20,1140377,R_20,341736,R_20,2239696,07/01/2019,06/30/2020,15,2021,08
IA,3106611,R_20,3074054,3155070,543,R_20,24,R_20,4,R_20,330.08,IF20,1023.08,IF20,711.21,IF20,1734.29,IF20,128390985,IF20,2559766,IF20,45628,IF20,7528170,IF20,138524549,IF20,71385100,IF20,24644570,IF20,96029670,IF20,9050779,IF20,4030410,IF20,2472663,IF20,15553852,IF20,23372823,IF20,134956345,IF20,8523925,IF20,808848,IF20,83205,IF20,3257345,IF20,12673323,IF20,23851804,IF20,11451719,IF20,27325516,IF20,622987,IF20,12505079,IF20,1215559,IF20,56930,IF20,1306,IF20,20568,R_20,21874,IF20,965995,R_20,11854428,IF20,1165415,IF20,1917513,IF20,19898889,IF20,6887705,IF20,3272479,IF20,16626410,IF20,2892946,IF20,6165425,IF20,22791835,IF20,360144,IF20,306402,IF20,84244,IF20,48846,IF20,7759,IF20,1571407,IF20,1106245,IF20,92210,IF20,8977,IF20,1663956,IF20,5504530,IF20,7850446,07/01/2019,06/30/2020,19,2021,04
ID,1535815,R_20,1535815,1787065,100,R_20,49,R_20,13,R_20,111.51,R_20,244.39,R_20,617.39,R_20,861.78,R_20,62839014,R_20,2112694,R_20,261856,R_20,4476792,R_20,69690356,R_20,29211372,R_20,9875610,R_20,39086982,R_20,3883251,R_20,2507108,R_20,823529,R_20,7213888,R_20,15060907,R_20,61361777,R_20,2487510,R_20,24412,R_20,129702,R_20,1008353,R_20,3649977,R_20,3104435,R_20,4251260,IF20,1300365,R_20,211809,R_20,464013,R_20,379381,R_20,17516,R_20,494,R_20,1560,R_20,2054,R_20,222103,R_20,4533303,IF20,706787,IF20,810966,R_20,12416913,IF20,4696605,IF20,2335003,R_20,10081910,IF20,659169,R_20,2994172,R_20,13076082,IF20,810411,IF20,809458,IF20,20844,IF20,12441,IF20,2216,IF20,481782,IF20,325952,IF20,29743,IF20,1837,R_20,728684,IF20,1676641,IF20,7233470,10/01/2019,09/30/2020,16,2021,07
IL,11736506,R_20,11736506,12671821,623,R_20,152,R_20,17,R_20,2233.35,R_20,3227.55,R_20,5298.02,R_20,8525.57,R_20,814663334,R_20,44146394,R_20,2093692,R_20,47714295,R_20,908617715,R_20,407437685,R_20,113912395,R_20,521350080,R_20,39517570,R_20,29805615,R_20,12088502,R_20,81411687,R_20,202539181,R_20,805300948,R_20,68727352,R_20,374039,IF20,42553,IF20,7222089,IF20,76366033,IF20,83439888,IF20,37805583,R_20,42992157,IF20,2656566,R_20,22778205,IF20,3842503,R_20,2002360,IF20,6414,IF20,8099,R_20,14513,IF20,1677195,R_20,50159232,IF20,7229500,IF20,4627390,R_20,94079817,IF20,34629035,R_20,13961284,IF20,80118533,R_20,18626666,IF20,32587950,IF20,112706483,IF20,5147197,IF20,5142066,IF20,230820,IF20,129094,IF20,29695,IF20,4959555,IF20,3305756,IF20,368356,IF20,16117,R_20,7912970,IF20,28905395,IF20,58511892,12/01/2018,06/30/2020,17,2021,03
